"filename", "language", "TypeScript JSX", "TypeScript", "Sass", "XML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\CanvasContext\CanvasContext.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\CanvasContext\atoms\atoms.ts", "TypeScript", 0, 59, 0, 0, 4, 14, 77
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\CanvasContext\useCanvasContext.ts", "TypeScript", 0, 11, 0, 0, 0, 3, 14
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ActionsBar\index.tsx", "TypeScript JSX", 81, 0, 0, 0, 1, 6, 88
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ActionsBar\style.module.sass", "Sass", 0, 0, 9, 0, 0, 2, 11
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\BorderEditor\index.tsx", "TypeScript JSX", 19, 0, 0, 0, 1, 5, 25
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Canvas\index.tsx", "TypeScript JSX", 122, 0, 0, 0, 2, 14, 138
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Canvas\style.module.sass", "Sass", 0, 0, 23, 0, 0, 4, 27
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ColorSelector\index.tsx", "TypeScript JSX", 33, 0, 0, 0, 3, 7, 43
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ColorSelector\style.module.sass", "Sass", 0, 0, 6, 0, 0, 1, 7
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Resizer\index.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 8, 65
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Resizer\style.module.sass", "Sass", 0, 0, 12, 0, 0, 2, 14
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidebar\index.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 4, 84
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\CanvasColorSM\index.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 6, 29
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\BorderColorSM\index.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 5, 27
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\ElementColorSM\index.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 7, 37
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\TextColorSM\index.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 5, 26
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\index.tsx", "TypeScript JSX", 38, 0, 0, 0, 1, 9, 48
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\assets\addcolor.svg", "XML", 0, 0, 0, 22, 0, 1, 23
