Date : 2024-03-20 16:27:46
Directory : c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor
Total : 104 files,  2890 codes, 45 comments, 372 blanks, all 3307 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         37 |      2,101 |         40 |        221 |      2,362 |
| XML            |         38 |        292 |          0 |         38 |        330 |
| Sass           |         19 |        286 |          0 |         74 |        360 |
| TypeScript     |         10 |        211 |          5 |         39 |        255 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                |        104 |      2,890 |         45 |        372 |      3,307 |
| . (Files)                                                                                                                                                        |          1 |        161 |          3 |         14 |        178 |
| CanvasContext                                                                                                                                                    |          3 |         82 |          4 |         19 |        105 |
| CanvasContext (Files)                                                                                                                                            |          2 |         23 |          0 |          5 |         28 |
| CanvasContext\atoms                                                                                                                                              |          1 |         59 |          4 |         14 |         77 |
| Components                                                                                                                                                       |         90 |      2,492 |         37 |        315 |      2,844 |
| Components\ActionsBar                                                                                                                                            |          2 |         90 |          1 |          8 |         99 |
| Components\BorderEditor                                                                                                                                          |          1 |         19 |          1 |          5 |         25 |
| Components\Canvas                                                                                                                                                |          2 |        145 |          2 |         18 |        165 |
| Components\ColorSelector                                                                                                                                         |          2 |         39 |          3 |          8 |         50 |
| Components\Resizer                                                                                                                                               |          2 |         69 |          0 |         10 |         79 |
| Components\Sidebar                                                                                                                                               |          1 |         80 |          0 |          4 |         84 |
| Components\Sidemenus                                                                                                                                             |         35 |        946 |         22 |        141 |      1,109 |
| Components\Sidemenus (Files)                                                                                                                                     |          2 |         45 |          1 |          6 |         52 |
| Components\Sidemenus\ColorSideMenu                                                                                                                               |          8 |        240 |          1 |         42 |        283 |
| Components\Sidemenus\ColorSideMenu (Files)                                                                                                                       |          2 |         84 |          0 |          9 |         93 |
| Components\Sidemenus\ColorSideMenu\CanvasColorSM                                                                                                                 |          1 |         23 |          0 |          6 |         29 |
| Components\Sidemenus\ColorSideMenu\ObjectColorSM                                                                                                                 |          4 |        111 |          1 |         26 |        138 |
| Components\Sidemenus\ColorSideMenu\ObjectColorSM (Files)                                                                                                         |          1 |         38 |          1 |          9 |         48 |
| Components\Sidemenus\ColorSideMenu\ObjectColorSM\BorderColorSM                                                                                                   |          1 |         22 |          0 |          5 |         27 |
| Components\Sidemenus\ColorSideMenu\ObjectColorSM\ElementColorSM                                                                                                  |          1 |         30 |          0 |          7 |         37 |
| Components\Sidemenus\ColorSideMenu\ObjectColorSM\TextColorSM                                                                                                     |          1 |         21 |          0 |          5 |         26 |
| Components\Sidemenus\ColorSideMenu\assets                                                                                                                        |          1 |         22 |          0 |          1 |         23 |
| Components\Sidemenus\ElementsSidemenu                                                                                                                            |         15 |        153 |         17 |         18 |        188 |
| Components\Sidemenus\ElementsSidemenu (Files)                                                                                                                    |          2 |         76 |         17 |          5 |         98 |
| Components\Sidemenus\ElementsSidemenu\assets                                                                                                                     |         13 |         77 |          0 |         13 |         90 |
| Components\Sidemenus\ImagesSidemenu                                                                                                                              |          2 |         82 |          1 |          7 |         90 |
| Components\Sidemenus\LayersSubmenu                                                                                                                               |          4 |        183 |          2 |         16 |        201 |
| Components\Sidemenus\LayersSubmenu (Files)                                                                                                                       |          2 |        118 |          1 |          9 |        128 |
| Components\Sidemenus\LayersSubmenu\LayerContent                                                                                                                  |          1 |         25 |          0 |          3 |         28 |
| Components\Sidemenus\LayersSubmenu\LayerSvg                                                                                                                      |          1 |         40 |          1 |          4 |         45 |
| Components\Sidemenus\TextSidemenu                                                                                                                                |          2 |        134 |          0 |         40 |        174 |
| Components\Sidemenus\UploadsSidemenu                                                                                                                             |          2 |        109 |          0 |         12 |        121 |
| Components\Sidemenus\UploadsSidemenu (Files)                                                                                                                     |          1 |         76 |          0 |          9 |         85 |
| Components\Sidemenus\UploadsSidemenu\Image                                                                                                                       |          1 |         33 |          0 |          3 |         36 |
| Components\SliderSelector                                                                                                                                        |          4 |        157 |          2 |         14 |        173 |
| Components\ThreePointsMenu                                                                                                                                       |         24 |        494 |          5 |         49 |        548 |
| Components\ThreePointsMenu (Files)                                                                                                                               |          3 |        320 |          5 |         28 |        353 |
| Components\ThreePointsMenu\assets                                                                                                                                |         21 |        174 |          0 |         21 |        195 |
| Components\Toolbars                                                                                                                                              |         17 |        453 |          1 |         58 |        512 |
| Components\Toolbars (Files)                                                                                                                                      |          1 |         22 |          0 |          3 |         25 |
| Components\Toolbars\CanvasToolbar                                                                                                                                |          1 |         16 |          0 |          3 |         19 |
| Components\Toolbars\ElementToolbar                                                                                                                               |          3 |         30 |          0 |          6 |         36 |
| Components\Toolbars\ElementToolbar (Files)                                                                                                                       |          2 |         25 |          0 |          5 |         30 |
| Components\Toolbars\ElementToolbar\assets                                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| Components\Toolbars\ImageToolbar                                                                                                                                 |          2 |         61 |          0 |          7 |         68 |
| Components\Toolbars\TextToolbar                                                                                                                                  |         10 |        324 |          1 |         39 |        364 |
| Components\Toolbars\TextToolbar (Files)                                                                                                                          |          2 |        112 |          1 |         11 |        124 |
| Components\Toolbars\TextToolbar\FontFamilySelector                                                                                                               |          2 |         37 |          0 |          6 |         43 |
| Components\Toolbars\TextToolbar\FontSizeHandler                                                                                                                  |          2 |         62 |          0 |          9 |         71 |
| Components\Toolbars\TextToolbar\TextAlignmentToggler                                                                                                             |          2 |         57 |          0 |          7 |         64 |
| Components\Toolbars\TextToolbar\Toggler                                                                                                                          |          2 |         56 |          0 |          6 |         62 |
| assets                                                                                                                                                           |          2 |         14 |          0 |          2 |         16 |
| constants                                                                                                                                                        |          2 |         16 |          0 |          2 |         18 |
| helpers                                                                                                                                                          |          3 |         77 |          0 |         10 |         87 |
| hooks                                                                                                                                                            |          3 |         48 |          1 |         10 |         59 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                         | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
